ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
227;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;"4.1. Dubbele leden;";"4.1. Dubbele leden;";;FAQ;"Vraag de Helpdesk via een ticket om een overzicht van dubbele leden binnen uw parochie. U
ontvangt dan een Excel bestand en instructie om deze leden te ontdubbelen."
228;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.2. Leden met Sila-mutatie 12 Notificatie van een afmelding door SILA (kerkverlater);4.2. Leden met Sila-mutatie 12 Notificatie van een afmelding door SILA (kerkverlater);;Procedure;"Dit zijn leden die zich rechtstreeks hebben gemeld bij Sila om afgemeld te worden. Deze leden
kunnen in principe worden behandeld als een Kerkverlater.
De zoekopdracht;
Ga naar 01. Ledenadministratie. Klik op Zoek&Vind > Uitgebreid zoeken. Vul bij het veld Mutatiesoort
Sila Bevat notificatie.

De controle;
Deze leden dienen dus als Kerkverlater te worden behandeld. Volg hiervoor de PROCEDURE
VERWIJDEREN KERKVERLATER OF ADMINISTRATIEVE UITSCHRIJVING v1.2.
U vindt deze procedure bij 01. Instructies > klik op de blauwe link > tabblad Documentatie.
Volg de procedure nauwkeurig."
229;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.3. Aanmelding in behandeling;4.3. Aanmelding in behandeling;;FAQ;"Als u een lid heeft aangemeld bij Sila dan ontvangt u na enkele dagen een Sila-mutatie 10 Response
op een aanmelding. Maar soms blijft het lid op Aanmelding in behandeling staan. Als dit langer dan"
230;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;14 dagen is dan kunt u ervan uitgaan dat dit lid niet meer aangemeld wordt. In vrijwel alle gevallen is;14 dagen is dan kunt u ervan uitgaan dat dit lid niet meer aangemeld wordt. In vrijwel alle gevallen is;;Procedure;"dit omdat de parochiaan dubbel voorkomt in de landelijke ledenadministratie en het andere
lidnummer heeft al een Sila-indicatie.
De zoekopdracht;
Ga naar 01. Ledenadministratie. Klik op Zoek&Vind > tabblad Uitgebreid Zoeken.
klik bij het veld Sila aan- afmelding op het groene pijltje. Dit verandert in een oranje pijltje. Klik
daarna in het veld achter dit pijltje. Er opent nu een pop-up lijstje. Kies voor Aanmelding in
behandeling.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

De controle;
Controleer bij deze leden of het verzoek aanmelding langer dan 14 dagen is geleden. Zo ja, dan komt
dit lid dus dubbel voor. Als u verder niets aan dit lid heeft hangen verwijder dan het lid. Hangt er wel
iets aan dit lid zoek dan in uw eigen ledenadministratie of u het dubbele lid kunt vinden. Zoek op
Achternaam en Geboortedatum. Handhaaf het lid met Sila-stip en hang alles van het andere lid om
naar dit lidnummer. Verwijder daarna het lid zonder Sila-stip."
231;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.4. Selecteer leden zonder postcode;4.4. Selecteer leden zonder postcode;;Procedure;"De zoekopdracht;
Ga naar 01. Ledenadministratie > Zoek&Vind > Postcode Is leeg.

De controle;
Het resultaat van deze selectie controleren. Zijn deze leden nog relevant voor uw parochie?
Heeft u inmiddels een adres van dit lid? Pas de ledenkaart eventueel aan."
232;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.5. Selecteer leden met status Lokale relatie en Sila-indicatie is ja;4.5. Selecteer leden met status Lokale relatie en Sila-indicatie is ja;;Procedure;"De zoekopdracht;
Ga naar 01. Ledenadministratie > Zoek&Vind > Relatiestatus = (Lokale) relatie en Indicatie
Sila-stip = Ja.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

De controle;
Deze leden mogen niet de status Lokale relatie hebben. Zet deze leden om naar de status
Parochiaan."
233;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.6. Selecteer leden met de status Lokale relatie;4.6. Selecteer leden met de status Lokale relatie;;Procedure;"De zoekopdracht;
Ga naar 01. Ledenadministratie > Zoek&Vind > Relatiestatus = (Lokale) relatie

De controle
Bekijk de leden van deze selectie. Waarom zijn dit lokale relaties? Is dit niet eigenlijk een
parochiaan (en dus RK) en dient deze aangemeld te worden bij Sila?
Zoals eerder gezegd mag een lokale relatie geen Sila-stip hebben. Er komt dus ook geen
adreswijziging binnen via Sila. Klopt het adres dan nog wel?
Het is niet nodig/wenselijk een lokale relatie aan te maken enkel voor registratie van
rechthebbende bij Grafbeheer of voor het registreren van Kerkelijke data.

Maak dezelfde selectie voor Lokale organisaties.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)"
234;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.7. Leden die voorkeurslid zijn van uw parochie/locatie;4.7. Leden die voorkeurslid zijn van uw parochie/locatie;;Procedure;"De zoekopdracht;
Maak een selectie van leden die voorkeurslid zijn van uw parochie/locatie.
Ga naar 01. Ledenadministratie > Zoek&Vind > tabblad Uitgebreid Zoeken.
Vul bij Voorkeur parochienummer of Voorkeur locatienummer uw parochienummer of uw
locatienummer in.

OF

De controle;
Controleer of deze leden nog steeds voorkeur zijn voor uw parochie. Zo niet verwijderd dan
alle voorkeursgegevens. Na enkele dagen is het lid niet meer zichtbaar voor uw
parochie/locatie.
Verwijder niet het lid!! Dan verwijdert u het lid ook voor de geografische parochie."
235;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.8. Selecteer leden met status Overleden en Hoofdbewoner Bevat niet n.v.t.;4.8. Selecteer leden met status Overleden en Hoofdbewoner Bevat niet n.v.t.;;Procedure;"De zoekopdracht;
Ga naar 01. Ledenadministratie > Zoek&Vind > Relaties status = Overleden en Hoofdbewoner
Bevat niet N.v.t.

De controle;
Zet deze leden om naar Hoofdbewoner is N.v.t.
Gaat het om enkele leden dan kunt u dit zelf doen. Gaat het om meer dan 20 leden maak dan
een Export naar Excel. Voeg dit bestand toe aan een ticket met het verzoek om deze leden
om te zetten naar Hoofdbewoner is n.v.t.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)"
236;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;"4.9. Om per huishouden één hoofdbewoner te maken;";"4.9. Om per huishouden één hoofdbewoner te maken;";;FAQ;"Vraag via een ticket aan de Helpdesk om een overzicht te maken van alle leden (m.u.v.
Overleden) waarvan de combinatie postcode en huisnummer (letter, aanduiding,
toevoeging) maar één keer voorkomt.
Hiervan kan het veld Hoofdbewoner op Ja worden gezet door de Helpdesk.
Via dezelfde lijst kunnen de dubbele adressen via de combinatie postcode en
huisnummer (letter, aanduiding, toevoeging) zichtbaar worden gemaakt. Geef op deze lijst
per huisadres aan wie hoofdbewoner is (=Ja) en wie niet (=Nee). Let op bij
verzorgingstehuizen of andere instellingen.
Zet dit bestand in een nieuw ticket met het verzoek de kolom Hoofdbewoner in te lezen.
Nadat deze actie is uitgevoerd is het dus belangrijk om leden die via een silamutatie in uw
parochie komen te controleren op Hoofdbewoner. Ook bij Overlijden van een lid dient
gekeken te worden wie daarna Hoofdbewoner is."
237;DocBase;Opschonen ledenadministratie;4. Opschonen/controle op 01 Ledenadministratie;4.10. Selecteer leden met Sila-stip en geloofsovertuiging is niet RK;4.10. Selecteer leden met Sila-stip en geloofsovertuiging is niet RK;;Procedure;"De zoekopdracht;
Ga naar 01. Ledenadministratie > Zoek&Vind > tabblad Uitgebreid Zoeken >
Geloofsovertuiging Bevat niet RK en Indicatie Sila-stip = Ja

De controle;
Een lid dat niet RK is mag ook niet aangemeld zijn bij Sila. Zoek uit of het lid wel of niet RK is.
Is hij/zij wel RK wijzig dan op de ledenkaart de Geloofsovertuiging. Is hij/zij niet RK meldt het
lid dan af bij Sila. Verwijder eventueel de ledenkaart.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)"
238;DocBase;Opschonen ledenadministratie;5. Opschonen/controles op 03. Debiteuren;5.1. Debiteuren met foutmelding anders dan geen bankrekeningnummer;5.1. Debiteuren met foutmelding anders dan geen bankrekeningnummer;;Procedure;"Zorg ervoor dat debiteuren geen foutmelding hebben (met uitzondering van de foutmelding “Bank
Account Number(s) invalid/empty for debtor with id ..”).
De zoekopdracht;
Ga naar 03. Debiteuren. Klik op Zoek&Vind > Uitgebreid zoeken.
Vul bij het veld Foutmelding Exact het volgende in; Is niet leeg AND Bevat niet bank account.

Klik op Vind nu!
Sla deze zoekopdracht op met Toon als tabblad omdat u deze zoekopdracht regelmatig wilt bekijken.
De controle;
Probeer de foutmelding op te lossen. Soms is het voldoende om de debiteur aan te vinken en op
Wijzigen en OK te klikken (u geeft dan de debiteur een zgn. “zetje” waarbij even verbinding wordt
gemaakt met Exact). Blijft de foutmelding staan dan is er iets aan de hand met deze debiteur. Kijk in
de foutmelding wat de reden is (helaas is dit altijd in het Engels). Lukt het niet om de foutmelding op
te lossen maak dan een ticket aan voor de Helpdesk met vermelding van de debiteur en de
foutmelding."
239;DocBase;Opschonen ledenadministratie;5. Opschonen/controles op 03. Debiteuren;5.2. Debiteuren zonder kostenplaats/locatie;5.2. Debiteuren zonder kostenplaats/locatie;;Procedure;"Indien u een centrale administratie heeft met kostenplaatsen dan muteert u met een P-account. Let
dan goed op dat elke debiteur en abonnement een kostenplaats/locatie heeft.
De zoekopdracht;
Ga naar 03. Debiteuren. Klik op Zoek &Vind > Uitgebreid zoeken. Vul bij het veld Kostenplaats/locatie
is leeg in.

De controle;
Indien er een debiteur is zonder kostenplaats/locatie kijk dan of er al een debiteur is MET
kostenplaats/locatie. Ga dan naar Exact en ontdubbel daar zodat de debiteur MET
kostenplaats/locatie gehandhaafd blijft. Verwijder daarna de debiteur zonder kostenplaats/locatie in
DocBase.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

Is er geen debiteur MET een kostenplaats/locatie maak deze dan aan en voer daarna het
bovenstaande uit.

LET OP; indien er een incasso-abonnement is dat aan deze debiteur gekoppeld is maak dan een ticket
aan in DocBase. De Helpdesk zal dit dan voor u oplossen."
240;DocBase;Opschonen ledenadministratie;6. Opschonen/controles op 04. Abonnementen;6.1. Abonnementen met foutmelding;6.1. Abonnementen met foutmelding;;Procedure;"Zorg ervoor dat abonnementen (met betaalwijze Automatisch incasso of Factuur) geen foutmelding
hebben.
De zoekopdracht;
Ga naar 04. Abonnementen. Klik op Zoek&Vind > Uitgebreid zoeken.

Klik op Vind nu!
De controle;
Probeer de foutmelding op te lossen. Soms is het voldoende om het abonnement aan te vinken en
op Wijzigen en OK te klikken (u geeft dan het abonnement een zgn. “zetje” waarbij even verbinding
wordt gemaakt met Exact). Blijft de foutmelding staan dan is er iets aan de hand met dit
abonnement. Kijk in de foutmelding wat de reden is (helaas is dit altijd in het Engels). Lukt het niet
om de foutmelding op te lossen maak dan een ticket aan voor de Helpdesk met vermelding van het
abonnement en de foutmelding."
241;DocBase;Opschonen ledenadministratie;6. Opschonen/controles op 04. Abonnementen;6.2. Abonnementen zonder kostenplaats/locatie;6.2. Abonnementen zonder kostenplaats/locatie;;Procedure;"Indien u een centrale administratie heeft met kostenplaatsen dan muteert u met een P-account. Let
dan goed op dat elke debiteur en abonnement een kostenplaats/locatie heeft.
De zoekopdracht;
Ga naar 04. Abonnementen. Klik op Zoek &Vind > Uitgebreid zoeken. Vul bij het veld
Kostenplaats/locatie is leeg in.

Handleidingen - procedures:
DocBase; Opschonen ledenadministratie (versie 1.0)

De controle;
Indien het een incasso-abonnement betreft, beëindig het abonnement. Zorg ervoor dat u de juiste
einddatum gebruikt (indien nog niet geïncasseerd kan dit per ingangsdatum, indien wel al
geïncasseerd dan is dit de gefactureerd t/m datum). Maak een nieuw abonnement aan.
Voor alle andere abonnementen geldt dat u deze kunt verwijderen en een nieuw abonnement
aanmaken."
242;DocBase;Opschonen ledenadministratie;6. Opschonen/controles op 04. Abonnementen;6.3. Abonnementen met status Actie vereist;6.3. Abonnementen met status Actie vereist;;Procedure;"Als een lid komt te overlijden en er hangt een abonnement aan dit lid dan komt dit abonnement
automatisch op de status Actie vereist te staan.
De zoekopdracht;
Ga naar 04. Abonnementen. Klik op Zoek&Vind. Vul bij Status abonnement = Actie vereist in.

De controle;
Beëindig dit abonnement. Zorg voor een juiste einddatum bij een incasso-abonnement (zie het Veel
gestelde vragen-document).
Kijk ook of nog een levende partner is. Wellicht moet het abonnement naar de partner worden
overgezet."
243;DocBase;Opschoning Kerkbijdrage-administratie;Opschoning Kerkbijdrage-administratie;DocBase Opschoning Kerkbijdrage-administratie;DocBase Opschoning Kerkbijdrage-administratie;;FAQ;"Handleidingen - procedures:
DocBase Opschoning Kerkbijdrage-administratie

Inhoud
1.
Versie beheer ................................................................................................................................ 1
2.
Opschonen Kerkbijdrage-administratie ......................................................................................... 1
3.
Zoekopdracht ................................................................................................................................ 2
3.1.
Hoe sla ik een zoekopdracht op; ........................................................................................... 2
4.
Controles op Abonnementen ........................................................................................................ 3
4.1.
Foutcodes Abonnementen (noodzakelijk) ............................................................................ 3
4.2.
Abonnementen met status “Actie vereist” (noodzakelijk) .................................................... 4
4.3.
Abonnementen van overledenen (optioneel) ....................................................................... 4
5.
Debiteuren ..................................................................................................................................... 5
5.1.
Debiteuren met foutmelding (noodzakelijk) ......................................................................... 5
5.2.
Debiteuren van overledenen (optioneel) .............................................................................. 6"
